(x,exp);0,25;0,50;0,75;1,00;1,25;1,50;1,75;2,00;2,25;2,50;2,75;3,00;3,25;3,50;3,75;
0,000000;-0,000000;-0,000000;-0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
0,010000;0,002529;0,005032;0,007521;0,010000;0,012471;0,014935;0,017391;0,019841;0,022285;0,024723;0,027155;0,029581;0,032001;0,034415;0,036823;
0,020000;0,005119;0,010127;0,015083;0,020000;0,024884;0,029739;0,034567;0,039369;0,044147;0,048901;0,053631;0,058339;0,063023;0,067686;0,072326;
0,030000;0,007769;0,015286;0,022687;0,030000;0,037240;0,044415;0,051530;0,058588;0,065593;0,072545;0,079445;0,086296;0,093098;0,099851;0,106555;
0,040000;0,010482;0,020511;0,030333;0,040000;0,049539;0,058963;0,068283;0,077504;0,086630;0,095667;0,104615;0,113476;0,122253;0,130946;0,139556;
0,050000;0,013259;0,025802;0,038021;0,050000;0,061780;0,073384;0,084828;0,096120;0,107268;0,118279;0,129155;0,139900;0,150517;0,161008;0,171374;
0,060000;0,016102;0,031160;0,045751;0,060000;0,073965;0,087680;0,101167;0,114442;0,127513;0,140391;0,153081;0,165589;0,177917;0,190070;0,202050;
0,070000;0,019013;0,036585;0,053524;0,070000;0,086094;0,101852;0,117305;0,132474;0,147374;0,162016;0,176410;0,190563;0,204480;0,218166;0,231626;
0,080000;0,021991;0,042079;0,061340;0,080000;0,098166;0,115900;0,133242;0,150221;0,166856;0,183164;0,199156;0,214842;0,230231;0,245328;0,260142;
0,090000;0,025041;0,047643;0,069199;0,090000;0,110182;0,129826;0,148982;0,167687;0,185968;0,203845;0,221333;0,238446;0,255194;0,271588;0,287634;
0,100000;0,028162;0,053277;0,077102;0,100000;0,122143;0,143630;0,164527;0,184878;0,204717;0,224069;0,242956;0,261393;0,279395;0,296974;0,314140;
0,110000;0,031358;0,058982;0,085048;0,110000;0,134048;0,157315;0,179879;0,201796;0,223108;0,243847;0,264038;0,283702;0,302856;0,321516;0,339696;
0,120000;0,034628;0,064759;0,093038;0,120000;0,145899;0,170880;0,195041;0,218447;0,241151;0,263189;0,284594;0,305390;0,325600;0,345242;0,364334;
0,130000;0,037976;0,070610;0,101072;0,130000;0,157694;0,184327;0,210014;0,234835;0,258849;0,282104;0,304635;0,326475;0,347649;0,368180;0,388089;
0,140000;0,041404;0,076534;0,109150;0,140000;0,169435;0,197658;0,224803;0,250964;0,276212;0,300601;0,324176;0,346973;0,369023;0,390355;0,410992;
0,150000;0,044912;0,082533;0,117273;0,150000;0,181121;0,210872;0,239408;0,266838;0,293244;0,318690;0,343228;0,366901;0,389745;0,411793;0,433074;
0,160000;0,048503;0,088608;0,125440;0,160000;0,192753;0,223971;0,253831;0,282460;0,309952;0,336380;0,361804;0,386274;0,409833;0,432518;0,454363;
0,170000;0,052179;0,094760;0,133653;0,170000;0,204331;0,236956;0,268077;0,297836;0,326343;0,353680;0,379916;0,405109;0,429307;0,452554;0,474889;
0,180000;0,055942;0,100990;0,141911;0,180000;0,215856;0,249828;0,282145;0,312969;0,342421;0,370598;0,397575;0,423419;0,448186;0,471924;0,494679;
0,190000;0,059794;0,107298;0,150215;0,190000;0,227327;0,262588;0,296039;0,327862;0,358194;0,387142;0,414793;0,441221;0,466488;0,490651;0,513759;
